ax,ay,az,gx,gy,gz
3.91,-1.55,8.97,-0.00,0.36,0.07
3.76,-1.52,8.92,0.01,0.36,0.06
3.94,-1.54,9.05,0.04,0.36,0.06
3.84,-1.42,9.25,0.03,0.35,0.05
3.80,-1.31,9.21,0.02,0.35,0.05
3.62,-1.50,9.39,0.01,0.34,0.05
3.50,-1.39,9.50,0.02,0.33,0.05
3.56,-1.51,9.53,0.03,0.32,0.05
3.65,-1.60,9.38,0.03,0.31,0.04
3.59,-1.31,9.21,0.03,0.30,0.03
3.33,-1.22,9.18,0.02,0.29,0.03
3.37,-1.28,9.14,0.01,0.29,0.02
3.36,-1.30,9.41,-0.00,0.28,0.03
3.44,-1.83,9.21,0.02,0.27,0.02
3.32,-1.52,9.26,0.05,0.27,0.01
3.33,-1.47,9.06,0.05,0.26,-0.01
3.34,-1.05,9.06,0.02,0.27,0.00
3.40,-1.09,9.05,-0.01,0.28,0.00
3.18,-1.07,9.10,-0.02,0.28,0.01
3.02,-1.50,9.22,-0.01,0.28,0.01
2.95,-1.21,9.23,0.02,0.27,0.01
3.19,-0.93,9.13,0.04,0.27,0.02
3.16,-0.95,9.02,0.02,0.27,0.03
3.04,-1.20,9.20,-0.02,0.28,0.03
2.90,-1.29,9.25,-0.03,0.28,0.02
2.88,-1.12,9.49,-0.03,0.28,0.02
2.94,-1.33,9.53,-0.00,0.27,0.03
2.99,-1.11,9.39,0.02,0.26,0.03
2.92,-1.03,9.16,0.02,0.26,0.04
2.82,-1.23,9.25,0.01,0.26,0.04
2.82,-1.18,9.23,-0.00,0.26,0.04
2.76,-1.44,9.43,0.02,0.26,0.04
2.64,-1.44,9.60,0.05,0.26,0.03
2.44,-1.43,9.37,0.08,0.24,0.02
2.60,-1.06,9.21,0.08,0.24,0.03
2.82,-0.84,8.93,0.07,0.25,0.03
2.94,-0.90,8.90,0.04,0.27,0.05
2.66,-0.91,9.07,0.01,0.28,0.06
2.36,-1.22,9.27,-0.01,0.28,0.04
2.30,-0.74,9.37,-0.02,0.28,0.05
2.38,-1.01,9.21,-0.01,0.28,0.07
2.53,-1.29,9.01,-0.01,0.29,0.07
2.48,-1.28,9.04,-0.02,0.29,0.06
2.42,-1.43,8.95,-0.02,0.31,0.06
2.32,-1.35,9.22,-0.02,0.32,0.05
2.31,-1.18,9.43,-0.03,0.33,0.06
2.13,-1.44,9.67,-0.02,0.32,0.06
2.15,-1.59,9.79,0.01,0.31,0.05
2.05,-1.52,9.68,0.03,0.30,0.04
2.01,-1.47,9.51,0.05,0.29,0.03
2.21,-1.52,9.43,0.04,0.30,0.02
2.13,-1.00,9.80,0.01,0.30,0.02
1.95,-1.30,9.88,-0.01,0.30,0.02
1.74,-1.14,9.94,-0.01,0.29,0.02
1.70,-1.29,10.06,0.01,0.27,0.03
1.78,-1.34,9.90,0.03,0.25,0.03
1.92,-1.27,9.72,0.03,0.24,0.03
1.77,-1.19,9.64,0.04,0.24,0.03
1.71,-1.22,9.54,0.03,0.23,0.02
1.72,-1.03,9.61,0.02,0.24,0.03
1.73,-1.16,9.62,0.03,0.23,0.03
1.62,-1.17,9.56,0.05,0.23,0.03
1.50,-1.21,9.53,0.06,0.23,0.04
1.54,-1.11,9.40,0.04,0.24,0.04
1.68,-0.96,9.27,0.01,0.24,0.04
1.63,-1.08,9.39,-0.01,0.25,0.05
1.42,-1.29,9.32,-0.00,0.26,0.05
1.28,-1.18,9.47,0.01,0.27,0.05
1.37,-1.60,9.45,0.02,0.26,0.04
1.47,-1.24,9.13,0.04,0.27,0.04
1.48,-1.57,9.13,0.04,0.27,0.03
1.28,-1.10,9.25,0.03,0.29,0.02
1.06,-1.09,9.64,0.02,0.30,0.03
1.03,-1.21,9.68,0.03,0.29,0.04
1.17,-1.45,9.82,0.06,0.30,0.04
1.17,-1.40,9.62,0.09,0.29,0.02
1.06,-1.35,9.66,0.08,0.29,0.02
1.02,-1.33,9.58,0.06,0.29,0.01
0.99,-0.81,9.72,0.04,0.28,0.01
0.92,-0.96,9.84,0.02,0.28,0.02
0.77,-1.17,9.87,0.01,0.28,0.02
0.85,-1.30,9.79,0.02,0.28,0.01
0.79,-0.88,9.81,0.04,0.27,0.02
0.98,-1.35,9.43,0.04,0.27,0.02
0.82,-0.83,9.62,0.03,0.27,0.01
0.66,-0.88,9.77,0.01,0.27,0.02
0.55,-1.13,9.63,-0.00,0.27,0.02
0.63,-1.12,9.87,0.00,0.26,0.02
0.72,-1.29,9.73,0.04,0.26,0.03
0.62,-1.54,9.40,0.06,0.26,0.01
0.49,-1.21,9.61,0.09,0.25,0.02
0.44,-1.04,9.72,0.07,0.24,0.01
0.31,-0.91,9.78,0.06,0.25,0.01
0.39,-0.84,9.85,0.06,0.24,0.02
0.34,-1.06,9.80,0.07,0.23,0.02
0.29,-1.04,9.81,0.06,0.23,0.02
0.15,-1.32,9.87,0.04,0.22,0.01
0.30,-1.09,9.69,0.04,0.21,0.00
0.27,-1.15,9.67,0.04,0.21,-0.00
0.24,-1.15,9.75,0.06,0.20,-0.01
0.06,-1.15,9.91,0.08,0.20,-0.01
-0.04,-1.08,9.99,0.11,0.19,0.00
-0.06,-0.96,10.00,0.10,0.18,-0.01
0.11,-0.96,9.83,0.08,0.17,-0.01
0.16,-0.97,9.92,0.06,0.17,-0.03
0.04,-0.89,9.87,0.04,0.16,-0.02
-0.10,-1.06,9.82,0.04,0.15,-0.02
0.02,-0.87,9.76,0.04,0.15,-0.03
0.05,-0.83,9.63,0.04,0.15,-0.02
-0.00,-0.77,9.67,0.03,0.16,-0.01
-0.05,-0.70,9.65,0.02,0.17,-0.00
-0.16,-0.76,10.06,0.02,0.18,0.01
0.05,-0.72,10.10,-0.01,0.17,0.01
0.09,-1.01,10.26,-0.02,0.16,0.01
-0.06,-0.97,10.52,-0.03,0.14,-0.00
-0.23,-1.13,10.54,-0.03,0.12,-0.00
-0.34,-1.01,10.64,-0.01,0.09,-0.00
-0.29,-1.11,10.80,-0.02,0.06,-0.01
-0.04,-1.01,10.16,-0.00,0.04,0.00
-0.10,-1.27,10.23,0.01,0.04,-0.01
-0.19,-0.87,10.14,0.01,0.02,-0.02
-0.15,-0.83,10.28,0.03,0.01,-0.01
-0.14,-0.68,10.20,0.03,0.00,-0.01
-0.26,-0.69,10.17,0.03,-0.00,0.00
-0.29,-0.39,10.26,0.00,-0.01,0.01
-0.21,-0.62,10.29,-0.02,-0.03,0.03
-0.07,-0.89,10.00,-0.04,-0.04,0.03
0.10,-0.78,9.88,-0.05,-0.05,0.03
-0.24,-1.20,9.74,-0.04,-0.06,0.03
-0.38,-1.18,9.88,-0.04,-0.06,0.01
-0.31,-0.77,9.96,-0.02,-0.07,0.03
-0.13,-1.12,9.80,0.00,-0.08,0.02
-0.08,-0.82,9.68,0.01,-0.08,0.03
-0.16,-1.30,9.38,0.01,-0.08,0.03
-0.17,-1.07,9.52,0.00,-0.07,0.02
-0.16,-1.07,9.44,0.00,-0.07,0.02
-0.16,-0.95,9.49,0.01,-0.06,0.01
-0.11,-0.90,9.46,0.03,-0.06,0.02
-0.19,-1.00,9.46,0.03,-0.06,0.02
-0.21,-0.95,9.37,0.02,-0.05,0.02
-0.24,-0.94,9.50,-0.02,-0.05,0.02
-0.14,-0.68,9.63,-0.05,-0.04,0.02
-0.11,-0.98,9.68,-0.04,-0.04,0.02
-0.19,-1.10,9.56,-0.01,-0.05,0.03
-0.19,-1.33,9.54,0.02,-0.05,0.02
-0.17,-1.08,9.48,0.01,-0.04,0.01
0.00,-1.12,9.50,-0.00,-0.04,0.01
0.01,-1.14,9.50,-0.02,-0.04,-0.00
-0.16,-1.14,9.56,-0.01,-0.04,0.01
-0.27,-1.22,9.78,0.01,-0.04,-0.01
-0.19,-0.96,9.68,0.02,-0.04,0.00
-0.03,-1.19,9.54,0.01,-0.04,-0.01
0.00,-0.82,9.70,-0.01,-0.04,-0.01
-0.11,-1.21,9.61,-0.03,-0.04,-0.01
-0.13,-1.12,9.77,-0.02,-0.04,-0.02
-0.06,-0.98,9.73,-0.01,-0.04,-0.01
0.04,-1.01,9.73,0.00,-0.04,-0.01
0.01,-0.99,9.65,-0.00,-0.04,-0.01
-0.09,-1.02,9.69,-0.01,-0.04,-0.01
-0.06,-1.22,9.68,-0.02,-0.04,-0.02
0.06,-1.01,9.79,-0.01,-0.04,-0.02
0.06,-1.17,9.86,-0.00,-0.05,-0.03
-0.06,-1.11,9.92,0.02,-0.06,-0.03
-0.17,-1.21,9.83,0.03,-0.07,-0.03
-0.11,-1.20,9.90,0.02,-0.06,-0.04
0.10,-0.84,9.90,0.01,-0.07,-0.04
0.09,-0.95,9.91,-0.01,-0.08,-0.04
0.02,-0.90,9.79,-0.02,-0.08,-0.04
-0.08,-0.96,9.84,-0.01,-0.09,-0.04
-0.04,-0.85,9.71,-0.00,-0.09,-0.04
0.08,-1.05,9.65,-0.01,-0.09,-0.05
0.14,-0.87,9.64,-0.01,-0.09,-0.04
0.16,-1.09,9.50,-0.01,-0.08,-0.04
0.24,-0.64,9.49,-0.02,-0.08,-0.04
0.22,-1.14,9.31,-0.02,-0.07,-0.03
0.11,-0.83,9.61,-0.03,-0.07,-0.05
0.05,-0.94,9.56,-0.03,-0.07,-0.03
0.05,-1.06,9.36,-0.03,-0.07,-0.04
0.29,-0.83,9.35,-0.03,-0.06,-0.04
0.33,-0.83,9.29,-0.01,-0.05,-0.03
0.25,-0.84,9.29,0.00,-0.04,-0.03
0.10,-0.85,9.56,0.01,-0.03,-0.02
-0.06,-0.77,9.49,-0.01,-0.03,-0.02
0.19,-0.78,9.63,-0.01,-0.03,-0.01
0.40,-0.90,9.48,-0.03,-0.03,-0.01
0.41,-0.84,9.36,-0.02,-0.03,-0.01
0.29,-1.03,9.50,-0.01,-0.03,-0.01
0.07,-0.84,9.71,0.01,-0.02,-0.01
-0.11,-0.95,9.86,0.02,-0.03,0.00
0.06,-0.88,9.85,0.00,-0.03,-0.00
0.28,-0.78,9.65,-0.01,-0.03,0.01
0.23,-0.99,9.51,-0.02,-0.03,0.01
0.16,-1.20,9.68,-0.02,-0.03,0.01
0.10,-0.96,9.86,-0.01,-0.03,-0.00
0.23,-1.19,9.86,-0.00,-0.04,0.01
0.27,-1.22,9.93,-0.01,-0.04,-0.01
0.04,-1.11,9.74,-0.01,-0.05,-0.01
0.12,-1.18,9.55,-0.01,-0.05,-0.01
0.21,-0.85,9.73,-0.01,-0.04,-0.01
0.32,-0.79,9.69,-0.01,-0.05,0.00
0.29,-1.13,9.65,-0.02,-0.05,-0.01
0.28,-0.94,9.75,-0.01,-0.05,0.00
0.14,-1.40,9.60,-0.00,-0.05,-0.01
0.18,-0.95,9.75,0.01,-0.05,-0.01
0.26,-1.03,9.64,0.00,-0.05,-0.01
0.23,-1.04,9.54,-0.01,-0.05,-0.01
0.19,-1.13,9.55,-0.01,-0.05,-0.01
0.26,-1.14,9.58,-0.01,-0.05,-0.02
0.36,-0.93,9.61,-0.00,-0.05,-0.02
0.35,-1.07,9.56,0.00,-0.04,-0.01
0.27,-1.07,9.48,-0.00,-0.05,-0.01
0.18,-1.06,9.59,-0.00,-0.05,-0.02
0.26,-0.95,9.51,-0.01,-0.04,-0.01
0.41,-1.13,9.58,-0.02,-0.04,-0.02
0.28,-0.94,9.46,-0.01,-0.03,-0.02
0.21,-1.02,9.56,-0.01,-0.03,-0.02
0.34,-0.83,9.56,-0.01,-0.03,-0.01
0.29,-1.10,9.53,-0.00,-0.03,0.00
0.39,-1.17,9.70,-0.01,-0.03,-0.02
0.28,-0.89,9.71,-0.01,-0.03,-0.00
0.22,-1.36,9.70,-0.01,-0.03,-0.03
0.32,-0.89,9.55,-0.00,-0.03,-0.02
0.45,-1.04,9.50,-0.00,-0.03,-0.02
0.50,-0.90,9.52,0.01,-0.02,-0.01
0.32,-1.18,9.54,0.01,-0.02,-0.01
0.19,-0.85,9.74,0.00,-0.01,-0.02
0.24,-0.79,9.72,-0.01,-0.02,-0.01
0.41,-0.83,9.75,-0.01,-0.02,-0.00
0.36,-0.90,9.62,-0.01,-0.02,0.01
0.24,-1.02,9.58,-0.01,-0.02,0.00
0.26,-1.00,9.74,-0.02,-0.03,0.00
0.24,-1.06,9.56,-0.02,-0.02,0.01
0.36,-1.39,9.56,-0.02,-0.02,-0.00
0.37,-0.82,9.64,-0.01,-0.02,-0.00
0.45,-1.09,9.60,0.01,-0.02,0.00
0.23,-1.04,9.70,0.02,-0.02,0.00
0.26,-0.91,9.74,0.02,-0.02,0.01
0.34,-0.91,9.68,0.01,-0.03,0.01
0.42,-0.97,9.64,-0.00,-0.02,0.01
0.32,-0.87,9.62,-0.01,-0.02,0.01
0.28,-1.10,9.74,-0.02,-0.02,0.01
0.37,-1.12,9.73,-0.01,-0.03,0.01
0.50,-1.08,9.53,0.01,-0.03,0.02
0.39,-1.15,9.50,0.02,-0.02,0.01
0.35,-1.02,9.51,0.01,-0.02,0.01
0.28,-1.14,9.69,-0.01,-0.02,0.00
0.39,-1.12,9.66,-0.01,-0.02,0.00
0.38,-1.31,9.78,0.02,-0.02,-0.00
0.39,-1.20,9.65,0.04,-0.03,-0.00
0.16,-1.27,9.73,0.03,-0.03,-0.02
0.25,-0.97,9.74,0.01,-0.02,-0.01
0.47,-1.05,9.81,-0.02,-0.03,-0.02
0.45,-1.00,9.73,-0.01,-0.03,-0.02
0.36,-1.16,9.65,-0.01,-0.03,-0.01
0.20,-1.15,9.71,0.01,-0.03,-0.02
0.29,-1.04,9.59,0.01,-0.03,-0.01
0.39,-0.99,9.67,-0.00,-0.03,-0.02
0.42,-1.02,9.72,-0.02,-0.02,-0.02
0.34,-1.07,9.55,-0.02,-0.03,-0.02
0.34,-1.05,9.53,-0.02,-0.02,-0.02
0.37,-0.89,9.64,-0.01,-0.02,-0.01
0.51,-1.41,9.46,-0.01,-0.02,-0.03
0.31,-0.54,9.76,-0.01,-0.02,-0.02
0.29,-1.21,9.79,-0.01,-0.02,-0.02
0.28,-0.79,9.69,-0.00,-0.02,-0.02
0.45,-0.97,9.63,-0.00,-0.02,-0.02
0.57,-0.94,9.50,0.01,-0.02,-0.01
0.42,-1.03,9.55,0.00,-0.02,-0.01
0.32,-0.94,9.63,-0.01,-0.02,-0.01
0.39,-0.96,9.60,-0.01,-0.02,-0.01
0.49,-0.91,9.75,-0.00,-0.02,-0.01
0.45,-1.07,9.60,0.01,-0.02,-0.00
0.43,-1.20,9.60,0.00,-0.02,-0.02
0.31,-0.70,9.54,0.00,-0.02,-0.01
0.43,-1.07,9.67,-0.01,-0.01,-0.00
0.45,-0.72,9.69,-0.01,-0.02,0.00
0.41,-1.16,9.68,-0.01,-0.02,0.00
0.45,-1.13,9.69,-0.00,-0.02,-0.00
0.30,-1.21,9.62,0.00,-0.02,0.00
0.34,-1.13,9.56,-0.00,-0.02,-0.00
0.41,-1.02,9.73,-0.00,-0.02,-0.01
0.49,-0.99,9.71,0.00,-0.03,-0.00
0.44,-0.98,9.62,0.00,-0.03,-0.01
0.35,-0.94,9.59,0.01,-0.03,0.00
0.40,-0.95,9.62,0.00,-0.03,0.00
0.42,-0.98,9.51,-0.02,-0.02,0.00
0.53,-1.13,9.64,-0.01,-0.02,0.00
0.36,-1.25,9.59,0.00,-0.02,-0.00
0.31,-1.21,9.71,0.02,-0.02,-0.00
0.45,-1.20,9.68,0.03,-0.02,-0.01
0.57,-1.04,9.61,0.02,-0.02,-0.01
0.52,-1.05,9.63,0.01,-0.02,-0.01
0.39,-0.90,9.54,0.01,-0.01,-0.01
0.32,-0.91,9.68,0.00,-0.02,-0.00
0.41,-1.01,9.58,-0.00,-0.02,0.00
0.57,-1.10,9.67,-0.01,-0.02,-0.01
0.40,-1.06,9.47,-0.00,-0.02,-0.00
0.30,-1.33,9.69,-0.00,-0.01,-0.01
0.35,-0.99,9.66,-0.00,-0.02,-0.01
0.48,-1.13,9.65,0.00,-0.02,-0.00
0.49,-1.06,9.77,-0.00,-0.02,-0.02
0.40,-1.00,9.77,-0.00,-0.03,-0.01
0.27,-1.09,9.73,0.00,-0.02,-0.02
0.43,-0.86,9.73,-0.00,-0.03,-0.00
0.64,-1.22,9.45,-0.01,-0.02,-0.01
0.50,-0.90,9.83,0.00,-0.02,-0.01
0.46,-1.44,9.57,0.01,-0.02,-0.01
0.26,-0.69,9.74,0.01,-0.03,-0.01
0.40,-1.17,9.62,0.00,-0.03,-0.01
0.56,-0.83,9.65,-0.02,-0.03,-0.01
0.58,-1.09,9.48,-0.02,-0.03,-0.00
0.46,-1.00,9.44,0.00,-0.02,-0.01
0.40,-0.96,9.47,0.02,-0.02,0.01
0.47,-0.98,9.53,0.01,-0.01,-0.00
0.56,-0.73,9.61,0.00,-0.01,0.00
0.39,-0.90,9.67,-0.01,-0.01,0.00
0.36,-0.90,9.69,-0.02,-0.01,0.01
0.52,-0.99,9.61,-0.01,-0.01,0.01
0.62,-1.19,9.55,-0.00,-0.01,0.01
0.52,-1.04,9.62,0.01,-0.01,0.01
0.34,-1.02,9.60,-0.00,-0.01,0.01
0.33,-1.07,9.66,-0.01,-0.01,0.01
0.40,-0.98,9.54,-0.00,-0.01,0.02
0.47,-1.28,9.59,0.01,-0.01,0.01
0.55,-0.93,9.71,0.02,-0.01,0.01
0.48,-1.18,9.83,0.02,-0.01,0.01
0.36,-0.94,9.80,0.01,-0.02,0.01
0.44,-1.15,9.69,-0.00,-0.02,0.01
0.52,-1.08,9.77,-0.01,-0.02,-0.00
0.60,-0.98,9.69,0.00,-0.02,0.01
0.41,-1.17,9.69,0.01,-0.02,-0.00
0.37,-0.80,9.68,0.02,-0.02,0.01
0.45,-1.07,9.62,0.02,-0.02,0.01
0.50,-0.89,9.61,0.00,-0.02,0.01
0.56,-1.08,9.63,-0.01,-0.02,0.01
0.37,-1.03,9.66,-0.02,-0.01,0.00
0.36,-1.18,9.75,-0.00,-0.02,0.01
0.46,-1.13,9.78,0.02,-0.02,0.00
0.49,-0.98,9.56,0.02,-0.02,0.00
0.54,-1.10,9.71,0.01,-0.02,0.00
0.39,-1.00,9.56,0.00,-0.02,-0.00
0.38,-1.13,9.52,-0.00,-0.02,-0.00
0.54,-1.05,9.65,0.00,-0.02,-0.00
0.57,-0.99,9.60,0.01,-0.02,-0.01
0.45,-1.04,9.71,0.01,-0.02,0.00
0.41,-1.05,9.59,0.01,-0.02,-0.00
0.49,-1.01,9.62,0.00,-0.02,-0.00
0.47,-1.07,9.69,-0.01,-0.02,-0.01
0.53,-0.98,9.53,-0.00,-0.02,-0.01
0.47,-0.95,9.55,0.00,-0.02,-0.00
0.39,-1.05,9.63,0.01,-0.01,-0.00
0.56,-0.91,9.58,-0.00,-0.01,-0.00
0.67,-0.84,9.72,-0.02,-0.00,-0.00
0.51,-1.13,9.69,-0.02,-0.01,0.01
0.38,-0.92,9.59,-0.01,-0.01,-0.01
0.38,-1.01,9.54,0.00,-0.02,0.01
0.53,-0.99,9.47,-0.01,-0.01,-0.01
0.68,-0.91,9.30,-0.02,-0.00,0.01
0.57,-1.30,9.47,-0.00,0.01,0.00
0.37,-1.04,9.47,0.02,0.01,0.01
0.40,-1.07,9.57,0.03,0.01,-0.00
0.55,-0.70,9.72,0.02,0.01,0.01
0.58,-0.87,9.63,0.00,0.01,0.01
0.51,-0.88,9.57,-0.01,0.01,0.02
0.35,-1.12,9.74,-0.01,0.01,0.01
0.36,-0.98,9.85,0.00,0.01,0.01
0.51,-0.95,9.82,-0.00,0.01,0.01
0.49,-1.04,9.89,-0.00,-0.01,0.01
0.32,-1.29,9.72,-0.01,-0.01,0.00
0.35,-1.08,9.77,-0.01,-0.01,0.00
0.27,-1.07,9.72,0.00,-0.02,0.01
0.48,-0.95,9.79,0.01,-0.01,0.01
0.50,-0.90,9.79,0.00,-0.02,0.02
0.46,-1.27,9.75,-0.01,-0.03,0.00
0.39,-1.06,9.75,-0.01,-0.03,0.00
0.43,-1.12,9.64,-0.00,-0.03,0.00
0.54,-1.03,9.54,0.01,-0.03,-0.00
0.53,-0.91,9.55,0.02,-0.03,0.00
0.45,-1.04,9.49,0.00,-0.02,-0.00
0.39,-0.90,9.61,-0.01,-0.02,0.00
0.45,-1.05,9.58,-0.01,-0.01,0.01
0.57,-0.80,9.65,-0.00,-0.01,0.00
0.50,-0.97,9.66,0.01,-0.02,0.02
0.42,-1.05,9.63,0.00,-0.02,0.01
0.42,-1.06,9.58,-0.00,-0.02,0.01
0.53,-1.13,9.55,0.01,-0.01,0.01
0.56,-1.17,9.56,0.02,-0.01,0.00
0.53,-1.00,9.61,0.01,-0.01,0.00
0.40,-0.97,9.57,0.00,-0.01,0.01
0.45,-1.01,9.77,-0.00,-0.01,0.01
0.56,-0.91,9.67,-0.01,-0.01,0.01
0.59,-1.12,9.65,-0.01,-0.01,0.01
0.40,-1.18,9.72,-0.00,-0.01,0.00
0.32,-1.10,9.72,-0.01,-0.02,0.00
0.48,-1.11,9.66,-0.01,-0.01,-0.00
0.55,-0.99,9.71,-0.02,-0.02,0.00
0.54,-1.14,9.67,-0.02,-0.02,-0.00
0.42,-1.21,9.56,-0.00,-0.02,-0.01
0.41,-1.20,9.60,0.02,-0.02,-0.00
0.43,-1.09,9.66,0.01,-0.02,-0.01
0.58,-0.75,9.74,0.00,-0.02,-0.01
0.59,-0.89,9.56,-0.02,-0.02,-0.00
0.41,-0.94,9.77,-0.01,-0.02,0.01
0.45,-1.25,9.63,-0.00,-0.02,-0.01
0.43,-0.68,9.70,-0.00,-0.02,0.01
0.51,-1.31,9.59,-0.01,-0.02,-0.01
0.54,-0.91,9.44,-0.01,-0.02,-0.01
0.50,-1.40,9.50,-0.01,-0.01,-0.01
0.47,-1.02,9.47,0.01,-0.01,-0.01
0.48,-1.18,9.52,0.03,-0.00,-0.00
0.48,-0.84,9.67,0.02,-0.00,-0.01
0.40,-0.78,9.76,0.01,-0.01,0.01
0.38,-0.80,9.71,-0.00,-0.01,-0.00
0.51,-0.67,9.67,-0.02,-0.01,0.01
0.53,-1.00,9.71,-0.03,-0.02,0.01
0.54,-0.85,9.60,-0.02,-0.02,0.01
0.51,-1.24,9.61,0.00,-0.02,0.01
0.35,-1.10,9.63,0.02,-0.01,0.01
0.40,-1.14,9.59,0.02,-0.01,0.01
0.56,-0.94,9.50,0.02,-0.01,-0.00
0.57,-0.73,9.71,0.01,-0.00,0.01
0.41,-0.89,9.84,0.01,-0.01,0.01
0.33,-1.14,9.89,0.01,-0.01,0.01
0.39,-0.88,10.03,0.00,-0.02,0.02
0.64,-1.01,9.78,0.00,-0.03,0.01
0.59,-1.07,9.45,0.00,-0.03,0.01
0.46,-1.11,9.54,0.00,-0.02,0.01
0.34,-1.10,9.75,-0.01,-0.02,0.01
0.46,-0.86,9.66,-0.01,-0.02,0.01
0.54,-0.84,9.67,-0.00,-0.02,0.01
0.53,-0.99,9.76,0.01,-0.02,0.01
0.49,-1.07,9.67,0.01,-0.03,0.01
0.41,-1.15,9.76,-0.01,-0.03,0.01
0.56,-1.01,9.68,-0.02,-0.03,0.00
0.60,-1.26,9.67,-0.01,-0.03,0.01
0.53,-1.18,9.71,0.00,-0.03,-0.01
0.44,-0.98,9.59,-0.00,-0.04,-0.01
0.47,-1.07,9.55,-0.00,-0.03,-0.01
0.54,-0.82,9.67,-0.00,-0.03,-0.01
0.53,-1.05,9.83,-0.00,-0.03,-0.00
0.57,-1.05,9.69,-0.01,-0.03,-0.01
0.38,-1.11,9.59,-0.01,-0.03,-0.01
0.56,-1.01,9.61,-0.02,-0.03,-0.01
0.66,-0.98,9.48,-0.01,-0.03,-0.01
0.57,-1.07,9.57,-0.00,-0.03,-0.01
0.48,-0.98,9.61,0.01,-0.03,-0.02
0.40,-0.98,9.57,0.00,-0.03,-0.01
0.54,-0.97,9.46,-0.01,-0.02,-0.02
0.71,-0.70,9.29,-0.01,-0.01,-0.01
0.60,-1.23,9.42,0.00,-0.01,0.01
0.52,-1.09,9.49,-0.00,-0.00,-0.03
0.42,-0.74,9.67,0.01,-0.01,0.01
0.52,-1.14,9.59,0.00,-0.01,-0.02
0.69,-0.69,9.54,-0.00,-0.01,0.00
0.62,-1.26,9.56,-0.01,0.00,-0.00
0.58,-0.87,9.45,-0.00,0.01,0.00
0.57,-1.14,9.54,0.01,0.01,0.01
0.60,-0.97,9.58,0.02,0.02,-0.00
0.58,-0.87,9.68,0.01,0.01,0.00
0.45,-1.02,9.81,-0.00,0.01,0.01
0.41,-0.87,9.82,-0.01,0.01,0.01
0.51,-0.97,9.80,-0.01,0.00,0.01
0.54,-0.90,9.77,-0.00,0.00,0.01
0.58,-0.85,9.76,-0.00,-0.01,0.01
0.57,-1.11,9.70,-0.01,-0.01,0.01
0.46,-1.02,9.78,-0.02,-0.01,0.00
0.47,-1.13,9.80,-0.01,-0.01,0.02
0.56,-1.07,9.69,0.00,-0.01,0.01
0.62,-1.07,9.67,0.00,-0.02,0.00
0.46,-0.96,9.72,-0.01,-0.02,0.01
0.50,-1.16,9.77,-0.02,-0.02,0.01
0.54,-1.03,9.62,-0.01,-0.02,0.01
0.65,-1.06,9.72,-0.00,-0.02,0.01
0.58,-0.97,9.68,-0.00,-0.02,0.00
0.47,-1.08,9.67,-0.01,-0.02,0.01
0.41,-1.04,9.60,-0.01,-0.02,0.00
0.55,-1.07,9.58,-0.01,-0.02,0.01
0.65,-1.12,9.53,0.00,-0.02,0.01
0.58,-1.27,9.50,0.00,-0.02,0.00
0.42,-1.17,9.54,0.00,-0.01,-0.01
0.45,-1.00,9.62,0.00,-0.01,-0.00
0.62,-0.92,9.62,0.00,-0.01,-0.01
0.70,-0.95,9.67,-0.00,-0.02,-0.00
0.53,-1.14,9.67,-0.01,-0.02,-0.01
0.44,-1.03,9.65,-0.01,-0.02,-0.00
0.52,-1.03,9.60,-0.00,-0.02,0.00
0.62,-1.10,9.61,-0.00,-0.01,-0.00
0.60,-1.10,9.51,-0.00,-0.01,-0.00
0.51,-1.16,9.64,0.00,-0.01,-0.01
0.46,-1.02,9.65,0.01,-0.01,-0.01
0.57,-0.96,9.78,0.00,-0.01,-0.01
0.70,-0.88,9.64,-0.00,-0.01,-0.00
0.54,-1.13,9.66,-0.01,-0.02,-0.01
0.46,-1.03,9.60,-0.01,-0.01,-0.01
0.47,-1.12,9.62,-0.01,-0.01,-0.01
0.55,-1.04,9.70,-0.01,-0.02,-0.01
0.66,-0.98,9.72,-0.01,-0.02,-0.01
0.53,-0.78,9.70,-0.00,-0.01,0.00
0.50,-1.27,9.56,0.00,-0.01,0.00
0.41,-0.65,9.82,-0.01,-0.02,-0.01
0.56,-1.19,9.66,-0.02,-0.02,0.01
0.64,-1.01,9.62,-0.02,-0.02,-0.01
0.46,-1.14,9.49,-0.01,-0.01,0.01
0.53,-1.38,9.59,0.01,-0.01,-0.01
0.53,-0.90,9.57,0.01,-0.01,-0.00
0.63,-1.12,9.57,0.01,-0.01,-0.01
0.57,-0.92,9.67,-0.00,-0.01,-0.01
0.42,-1.05,9.79,-0.00,-0.01,-0.00
0.50,-0.97,9.74,0.00,-0.01,-0.00
0.51,-0.97,9.70,-0.00,-0.02,0.01
0.59,-1.15,9.70,-0.01,-0.02,0.00
0.57,-1.05,9.79,-0.01,-0.01,0.00
0.50,-1.10,9.69,-0.01,-0.01,0.00
0.39,-1.18,9.66,-0.00,-0.02,0.00
0.46,-0.99,9.65,-0.00,-0.02,-0.00
0.59,-0.95,9.60,0.00,-0.02,0.01
0.68,-1.15,9.54,-0.01,-0.02,0.00
0.52,-1.15,9.65,-0.01,-0.02,0.01
0.50,-1.30,9.70,-0.00,-0.02,-0.01
0.57,-1.08,9.67,0.02,-0.02,-0.01
0.70,-1.14,9.70,0.01,-0.02,-0.01
